S,B,latency_s,memory_bytes,energy_j,is_oom,is_validation
32,1,0.0006650844999285255,18763776,0.01836068850150184,False,False
32,2,0.0006813745000044946,18874368,0.018492844617371985,False,False
32,4,0.0006887425000741132,19095552,0.019611667192610337,False,False
32,8,0.0007115089999842894,19537920,0.020523121350046837,False,False
32,16,0.0008806504999938625,14843904,0.025535033670147044,False,False
32,32,0.0009734105001371063,15958016,0.027302704413095624,False,False
32,64,0.00122486850000314,18186240,0.03847648797347363,False,False
32,128,0.00264813299997968,59342848,0.09766513113900059,False,False
32,256,0.004277526999885595,103669760,0.18093939209516066,False,False
64,1,0.0007223344998692482,23969792,0.025467708629140016,False,False
64,2,0.000679110499959279,24117248,0.020718133355132697,False,False
64,4,0.000655179999853317,24903680,0.02085582079133076,False,False
64,8,0.000990026500062413,17793536,0.03294471583197689,False,False
64,16,0.0006893349999472775,19497472,0.023676244575689172,False,False
64,32,0.000986495000006471,22642688,0.036196474540237424,False,False
64,64,0.0014122175000466086,31555584,0.06061519953700053,False,False
64,128,0.004562202999977671,76644352,0.2479698758780864,False,False
64,256,0.008629346000020632,138272768,0.523227882159551,False,False
128,1,0.0007843964999665332,26611712,0.03497525943788276,False,False
128,2,0.0006789504999460405,17794048,0.02670889424212731,False,False
128,4,0.0007043570000178079,19497984,0.028425735449718676,False,False
128,8,0.000910556999997425,22642688,0.03900243431508971,False,False
128,16,0.0013052255000047808,31555584,0.068524077705151,False,False
128,32,0.002347992500062901,49381376,0.13394498895408832,False,False
128,64,0.004695067499937977,119316480,0.2938548846861181,False,False
128,128,0.014773923000007017,223518720,0.9497601074592013,False,False
128,256,0.029099476499936827,431923200,1.7966744277973494,False,False
224,1,0.0008537399999113404,64765952,0.04471002229935694,False,False
224,2,0.0009895499999856838,21308928,0.039652357004426333,False,False
224,4,0.0011179885000274226,27435008,0.05536681527995806,False,False
224,8,0.0019095010000000912,41426944,0.11901776520425568,False,False
224,16,0.0034756790000756155,68321280,0.28519475494380464,False,False
224,32,0.006912297999974726,174673920,0.46146847062731283,False,False
224,64,0.014232360999926641,335904768,0.8842523192171421,False,False
224,128,0.04670011799998974,655458304,3.1661746001633047,False,False
224,256,0.09474010449991965,1292992512,5.98428238576355,False,False
256,1,0.0007147794999582402,169807872,0.029813810333008187,False,False
256,2,0.000762795500008906,22906880,0.03785143830144193,False,False
256,4,0.0013147060000164856,31555584,0.07125837990689354,False,False
256,8,0.0023527480000211654,49381376,0.17899236234561025,False,False
256,16,0.004396451499928844,119316480,0.27184468648222526,False,False
256,32,0.008836248499960675,223518720,0.5098223788276811,False,False
256,64,0.017306246499970257,431923200,1.2203889110000279,False,False
256,128,0.05912254099996517,848732160,4.037856709150021,False,False
256,256,0.11842434499999399,1683062784,8.206475520333582,False,False
384,1,0.0008594254999252371,216928256,0.037077721659249545,False,False
384,2,0.001387840999996115,33783808,0.06968488445080492,False,False
384,4,0.0024866340000926357,53837824,0.15157227814884658,False,False
384,8,0.005048331000011785,95125504,0.3882822822039065,False,False
384,16,0.009803137999938372,227639296,0.5726919696028997,False,False
384,32,0.01994563100004143,436260864,1.3101866145676218,False,False
384,64,0.040900062499986234,857407488,2.825333372433424,False,False
384,128,0.1359640875000423,1699840000,9.314770468744772,False,False
384,256,0.27458390799995414,3384287232,19.361144749398566,False,False
512,1,0.001413619999993898,469962752,0.08052686329965239,False,False
512,2,0.0022693404999927225,50036736,0.13807121470055722,False,False
512,4,0.004669215999911103,85032960,0.26890925440608027,False,False
512,8,0.009202009499972519,156336128,0.5229575614910382,False,False
512,16,0.017524875000049178,399734784,1.1992964195096159,False,False
512,32,0.03707838249999895,784355328,2.5673628218736777,False,False
512,64,0.0772328490000973,1553596416,5.07040218477804,False,False
512,128,0.24805819750008595,3092348928,17.961013474380092,False,False
512,256,0.49883452799997485,6169042944,34.88117896248304,False,False
208,37,0.007541496500039102,838347776,0.5142584170859161,False,True
208,124,0.03804350550001345,508067840,2.58666734118384,False,True
208,87,0.02736718649998693,377288704,1.7769007901491263,False,True
368,37,0.024736727999879804,573104128,1.6004650647558234,False,True
368,124,0.13331368800004384,1624895488,9.098645874634192,False,True
368,87,0.09696583149991511,1193327616,6.9683331217435995,False,True
48,37,0.0009234895001100085,156170240,0.05595686075674071,False,True
48,124,0.002537947000064378,64493568,0.15803136103180862,False,True
48,87,0.0019328639999685038,49812480,0.1302499063658776,False,True
416,37,0.03090213250004581,696197120,2.017159875539866,False,True
416,124,0.1619159754999373,1985126400,11.222299112315357,False,True
416,87,0.11669373249992532,1454526464,7.7636573619665326,False,True
